edify,instruct; correct morally
abide,be faithful; to endure
pivotal,of great importance (others depend on it)
amalgamate,mix; combine; unite societies
repel,refuse to accept/cause dislike
arcane,known or understood by very few
implosion,collapse; bursting inward
fleet,number of ships; quick-moving
fragrant,sweet-smelling
sporadic,happening from time to time
opaqueness,dullness/not allowing light to pass through
malevolent,malicious; evil; having or showing ill will
suffice,be enough
jabber,talk excitedly; utter rapidly
torque,twisting force causing rotation
invincible,too strong to be defeated
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
superimpose,put something on the top
malleable,yielding easily shaped; moldable; adapting
introvert,one who turns towards himself
clot,half-solid lump formed from liquid
warrant,authority written order guarantee
repulsive,causing a feeling of disgust
skit,short piece of humorous writing
forgery,counterfeit
acclaimed,welcomed with shouts and approval
woo,try to win
ambiguous,doubtful; uncertain
stride,walk with long steps
apartheid,brutal racial discrimination
precursors,a person or thing that precedes, as in a process or job."
somersault,rolling backward or forward (not sideways) movement
centurion,leader of a unit of 100 soldiers
disallow,refuse to allow or accept as a correct
flop,fail/move/fall clumsily
ascend,go or come up
massacre,cruel killing of a large number of people
catalyst,substance that causes speeding up
permeate,spread into every part of
defer,postpone
elaborate,worked out with much care in great detail
presentiment,anticipatory fear; premonition
antidote,medicine used against a poison or a disease
flimsy,lacking solidarity, strength"
console,give comfort or sympathy to
vigorous,strong energetic
sawdust,tiny bits of wood
enigma,something that is puzzling
plea,request
bogus,sham; counterfeit; not genuine
impermeable,that cannot be permeated
affinity,close connection; relationship
brass,yellow metal (mixing copper and zinc)
indulgent,inclined to indulge
shunned,avoided, kept away from"
treacherous,not to be trusted, perfidious"
foster,nurture; care for
offhand,Without preparation or forethought
loll,rest to sit or stand in a lazy way hang (dog's tongue)
agile,active; quick-moving
audacious,Bold
boisterous,noisy; restraint
premature,doing or happening something before the right time
articulate,speak distinctly; connect by joints
chortle,loud chuckle of pleasure or amusement
calipers,metal supports attached to the legs measuring instrument
aggravate,make worse; irritate
foolproof,incapable of failure or error
fragile,easily injured broken or destroyed
knit,draw together; unite firmly
succumb,yield, die"
incongruous,out of place; not in harmony or agreement
relapse,fall back again
brittle,easily broken
dangle,hand or swing loosely
reminiscent,suggest something in the past
tractable,easily controlled or guided
ingest,take in by swallowing
arrogance,proud; superior manner of behaviour
partisan,one-sided committed to a party biased or prejudiced
eloquence,fluent speaking skillful use of language
scribble,write hastily
philanthropist,one who loves mankind
dwarf,person much smaller the usual size
indigenous,native
moderation,quality of being limited; not extreme
evasive,tending to evade
yarn,tale story fibers for knitting
resuscitation,coming back to consciousness
redeem,get back by payment compensate
combustion,process of burning
pilferer,to steal, especially in small quantities"
edible,fit to be eaten/not poisonous
shallow,little depth; not earnest
dullard,a stupid, insensitive person"
beguile,mislead or delude; cheat; pass time
accolade,praise; approval
enduring,lasting
ambidextrous,able to use the left hand or the right equally well
strive,to make great efforts, to struggle"
benefactor,person who has given help
correlate,have a mutual relation
endeavor,to make an effort, to try very hard"
solvent,of the power of forming a solution
apt,well-suited; quick-witted
sheath,cover for the blade of a weapon or a tool
timid,shy easily frightened
lampoon,publicly mock or ridicule
appease,make quiet or calm
commuter,person who travels regularly
hospitable,liking to give hospitality
disrobe,undress
legacy,Bequest or inheritance
spear,weapon with a metal point on a long shaft
ossified,turned to bone; hardened like bone; Inflexible
adulteration,making unpure; poorer in quality
submerge,put under water liquid sink out of sight
gerontocracy,government ruled by old people
sanity,health of mind soundness of judgment
cumbersome,burdensome; heavy and awkward to carry
heterogeneous,made up of different kinds
sequence,succession connected line of
conjoin,to join together
moribund,in a dying state; near death
allegiance,duty support loyalty
entice,attract, lure"
negligent,taking too little care
curriculum,course of study
judicious,sound in judgment; wise
eulogy,formal praise panegyric
renovate,restore something to better condition
complaisant,trying to please; obliging
weigh,measure how heavy something is
livid,Furiously angry, enraged"
suffocate,cause or have difficulty in breathing
acumen,Keen, quick, accurate insight or judgment"
immutable,that cannot be changed
turmoil,trouble disturbance
nihilism,total rejection of all religious and moral beliefs
patron,regular customer person who gives support
alleviate,make (pain) easier to bear
predominate,have more power than others
reiterate,say or do again several times
bewilder,puzzle; confuse
refine,make or become pure cultural
vivacious,lively high-spirited
equilibrium,state of being balanced
affable,polite and friendly
garrulous,too talkative
grumble,to complain
adorn,add beauty; decorate
abhor,to hate; to detest
salvage,the saving of property from loss
introspection,examining one's own thoughts and feelings
liberality,free giving; generosity
animosity,strong dislike
divergence,getting farther apart from a point
asterisk,the mark * (e.g.. omitted letters)
abscond,to go away suddenly (to avoid arrest)
odor,smell
poseur,a person who attempts to impress by acting unlike himself
sluggard,lazy slow-moving person
unscathed,unharmed unhurt
coagulation,change to a thick and solid state
concur,agree in opinion happen together
misanthrope,person who hates mankind
stray,wander lose one's way
ameliorate,improve; make better
impede,hinder; get in the way of
conceal,hide keep secret
cordial,warm and sincere
rejuvenation,becoming young in nature or appearance
narcissism,Self-love
derivative,unoriginal; obtained from another source
steeply,rising or falling sharply
clientele,customers
drowsiness,feeling sleepy half asleep
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
surcharge,additional load/charge
scent,smell (especially pleasant)
retrograde,receding
connote,Suggest or imply in addition to the precise, literal meaning"
recitals,a number of performance of music
anguish,severe suffering
buoyant,able to float; light-hearted
retrospective,Looking back on past
extinguish,end the existence of/wipe or put out
embezzle,use in a wrong way for one's own benefit
gait,a manner of walking, stepping, or running"
dexterity,skill (esp. in handling)
braggart,boastful
extinct,no longer active
